Crop,State,Cost of Production C2 - 2013-14,Cost of Production C2 - 2014-15,Cost of Production C2 - 2015-16,Cost of Production C2 - 2016-17,Cost of Production C2 - 2017-18
Moong,Bihar,NA,NA,NA,NA,6062.84
Moong,Gujarat,NA,11264.37,4774.29,3608.27,7841.61
Moong,Karnataka,3699.01,5790.59,6610.05,4176.62,4416.27
Moong,Madhya Pradesh,NA,NA,NA,NA,5661.62
Moong,Maharashtra,7816.61,8098.91,11332.97,5503.75,6495.09
Moong,Odisha,5084.23,5618.72,7188.79,6555.15,5324.42
Moong,Rajasthan,5907.54,5267.63,5617.11,4125.32,4775.48
Moong,Tamil Nadu,4525.64,NA,NA,NA,6419.02
Moong,Telangana,NA,NA,NA,NA,15527.4
Moong,Uttar Pradesh,NA,NA,NA,NA,5452.05
Moong,West Bengal,NA,NA,NA,NA,4814.79
Nigerseed,Chhattisgarh,NA,NA,14819.83,NA,NA
Nigerseed,Madhya Pradesh,NA,5697.21,6904.46,6258.85,NA
Nigerseed,Odisha,3900.66,6302.23,8288.48,8862.81,8140.97
Onion,Andhra Pradesh,1629.75,NA,NA,NA,647.34
Onion,Gujarat,662.1,852.24,721.29,564.69,611.5
Onion,Karnataka,973.3,1210.34,846,1442.29,1376.44
Onion,Madhya Pradesh,NA,NA,NA,NA,409.66
Onion,Maharashtra,756.94,754.14,632.21,472.08,697.01
Onion,Rajasthan,NA,NA,NA,NA,715.15
Paddy,Andhra Pradesh,1242.54,1282.17,1321.55,1264.33,1340.01
Paddy,Assam,1190.91,1427.84,1399.64,1575,1428.68
Paddy,Bihar,1141.07,1054.94,1271.13,1157.31,1270.28
Paddy,Chhattisgarh,1164.08,1229.85,1374.79,1292.49,1272.75
Paddy,Gujarat,1210.5,1095.87,1097.31,1106.85,1115.95
Paddy,Haryana,1389.35,1531.08,1543.66,1582.47,1447.82
Paddy,Himachal Pradesh,1186.69,1099.8,1483.01,1536.19,1376.74
Paddy,Jharkhand,1274.85,1083.41,1349.11,1202.02,1314.85
Paddy,Karnataka,1190.65,1195.71,1339.42,1266.88,2129.12
Paddy,Kerala,1346.36,1479.24,1669.81,1705.04,2398.89
Paddy,Madhya Pradesh,1134.09,1416.12,1709.98,1204.1,1573.61
Paddy,Maharashtra,1508.66,2237.11,2468.55,2199.02,2732.58
Paddy,Orissa,1399.1,1405.45,1450.32,1426.87,1394.01
Paddy,Punjab,1043.27,1091.75,1061.66,1091.67,1082.54
Paddy,Tamil Nadu,1257.77,1397.7,1435.17,1523.54,1671.41
Paddy,Telangana,NA,NA,NA,NA,1846.17
Paddy,Uttar Pradesh,1025.31,1479.86,1541.04,1475.9,1562.8
Paddy,Uttarakhand,1126.35,896.47,935.36,1013.02,1694.63
Paddy,West Bengal,1366.8,1411.34,1423.29,1497.01,1632.12
Potato,Assam,NA,1117.94,1148.05,1161.21,792.63
Potato,Bihar,515.32,448.18,437.5,402.02,545.79
Potato,Gujarat,NA,NA,NA,NA,362.58
Potato,Himachal Pradesh,907.01,993.84,1004.37,815.9,835.87
Potato,Karnataka,NA,NA,NA,NA,631.9
Potato,Madhya Pradesh,NA,NA,NA,NA,464.66
Potato,Punjab,NA,NA,NA,NA,342.63
Potato,Uttar Pradesh,707.48,712.73,554.62,445.52,382.3
